Fecha;SLV;
1/1/1990;;
1/2/1990;;
1/3/1990;;
1/4/1990;;
1/5/1990;;
1/6/1990;;
1/7/1990;;
1/8/1990;;
1/9/1990;;
1/10/1990;;
1/11/1990;;
1/12/1990;;
1/1/1991;63.1;
1/2/1991;58.4;
1/3/1991;67.6;
1/4/1991;77.8;
1/5/1991;77.4;
1/6/1991;67.8;
1/7/1991;70;
1/8/1991;53.5;
1/9/1991;53.1;
1/10/1991;64;
1/11/1991;64.3;
1/12/1991;73.1;
1/1/1992;65;
1/2/1992;66;
1/3/1992;75.6;
1/4/1992;74.5;
1/5/1992;76.3;
1/6/1992;75.6;
1/7/1992;77.7;
1/8/1992;62;
1/9/1992;60.3;
1/10/1992;65.5;
1/11/1992;70.5;
1/12/1992;89.3;
1/1/1993;57.7;
1/2/1993;65.3;
1/3/1993;81;
1/4/1993;76.4;
1/5/1993;75.6;
1/6/1993;71.6;
1/7/1993;76;
1/8/1993;68.7;
1/9/1993;62.9;
1/10/1993;66.6;
1/11/1993;74.1;
1/12/1993;88.2;
1/1/1994;69.4;
1/2/1994;72.9;
1/3/1994;81.1;
1/4/1994;79;
1/5/1994;88.2;
1/6/1994;77.1;
1/7/1994;75.1;
1/8/1994;86.4;
1/9/1994;80.4;
1/10/1994;73.5;
1/11/1994;80.1;
1/12/1994;99.3;
1/1/1995;82.1;
1/2/1995;74.4;
1/3/1995;86.2;
1/4/1995;76.2;
1/5/1995;98.1;
1/6/1995;91.6;
1/7/1995;90.6;
1/8/1995;93.1;
1/9/1995;85;
1/10/1995;89.1;
1/11/1995;89.1;
1/12/1995;105.9;
1/1/1996;90.6;
1/2/1996;74;
1/3/1996;89.6;
1/4/1996;84.6;
1/5/1996;100.9;
1/6/1996;86.1;
1/7/1996;105.3;
1/8/1996;96.3;
1/9/1996;88.2;
1/10/1996;94;
1/11/1996;80;
1/12/1996;96.9;
1/1/1997;89.2;
1/2/1997;77.8;
1/3/1997;84.2;
1/4/1997;103.3;
1/5/1997;100.9;
1/6/1997;106.8;
1/7/1997;117.1;
1/8/1997;98.2;
1/9/1997;105.8;
1/10/1997;106.9;
1/11/1997;88.7;
1/12/1997;120.6;
1/1/1998;98.9;
1/2/1998;86.6;
1/3/1998;110.2;
1/4/1998;113.1;
1/5/1998;112.5;
1/6/1998;111.3;
1/7/1998;116.2;
1/8/1998;114.7;
1/9/1998;114.2;
1/10/1998;114.6;
1/11/1998;115.1;
1/12/1998;130.9;
1/1/1999;106.7;
1/2/1999;97.2;
1/3/1999;115.5;
1/4/1999;117.9;
1/5/1999;119.4;
1/6/1999;108.6;
1/7/1999;119.1;
1/8/1999;106.5;
1/9/1999;106.4;
1/10/1999;113.9;
1/11/1999;121.5;
1/12/1999;141.1;
1/1/2000;132.1;
1/2/2000;125.9;
1/3/2000;140.7;
1/4/2000;121.7;
1/5/2000;153.4;
1/6/2000;143.6;
1/7/2000;152;
1/8/2000;156.2;
1/9/2000;142.7;
1/10/2000;159.8;
1/11/2000;155.6;
1/12/2000;167;
1/1/2001;147.6;
1/2/2001;147.2;
1/3/2001;149.6;
1/4/2001;139.7;
1/5/2001;179.1;
1/6/2001;157.8;
1/7/2001;162.9;
1/8/2001;166.8;
1/9/2001;146.7;
1/10/2001;169.6;
1/11/2001;158.7;
1/12/2001;184.8;
1/1/2002;143.4;1
1/2/2002;146.2;2
1/3/2002;157.8;3
1/4/2002;174.2;4
1/5/2002;180.3;5
1/6/2002;167.9;6
1/7/2002;162.2;7
1/8/2002;160.1;8
1/9/2002;150.5;9
1/10/2002;156.5;10
1/11/2002;160.9;11
1/12/2002;175.2;12
1/1/2003;146;13
1/2/2003;149.1;14
1/3/2003;170.1;15
1/4/2003;177.4;16
1/5/2003;186.1;17
1/6/2003;178.1;18
1/7/2003;175.8;19
1/8/2003;172.8;20
1/9/2003;180.4;21
1/10/2003;181.1;22
1/11/2003;174.8;23
1/12/2003;213.6;24
1/1/2004;171.3;25
1/2/2004;170.3;26
1/3/2004;218.4;27
1/4/2004;213.8;28
1/5/2004;220.5;29
1/6/2004;212.6;30
1/7/2004;210.1;31
1/8/2004;224.4;32
1/9/2004;213.5;33
1/10/2004;215.9;34
1/11/2004;230.6;35
1/12/2004;246.2;36
1/1/2005;189.7;37
1/2/2005;199.3;38
1/3/2005;250.4;39
1/4/2005;245.5;40
1/5/2005;272.2;41
1/6/2005;250.8;42
1/7/2005;240.9;43
1/8/2005;272.2;44
1/9/2005;245.2;45
1/10/2005;261.5;46
1/11/2005;266.1;47
1/12/2005;323.3;48
1/1/2006;237.7;49
1/2/2006;249.8;50
1/3/2006;309.4;51
1/4/2006;274.1;52
1/5/2006;330.8;53
1/6/2006;289.8;54
1/7/2006;284.9;55
1/8/2006;293.7;56
1/9/2006;271.4;57
1/10/2006;301;58
1/11/2006;279.6;59
1/12/2006;348.9;60
1/1/2007;270.9;61
1/2/2007;269.1;62
1/3/2007;320.2;63
1/4/2007;310.3;64
1/5/2007;338;65
1/6/2007;310;66
1/7/2007;324.6;67
1/8/2007;312.2;68
1/9/2007;281.6;69
1/10/2007;323.8;70
1/11/2007;283.5;71
1/12/2007;351.1;72
1/1/2008;270.5;73
1/2/2008;295.9;74
1/3/2008;338.4;75
1/4/2008;334.4;76
1/5/2008;343.6;77
1/6/2008;332.9;78
1/7/2008;328.8;79
1/8/2008;299.5;80
1/9/2008;303.1;81
1/10/2008;303;82
1/11/2008;262.7;83
1/12/2008;329.3;84
1/1/2009;248.7;85
1/2/2009;270.9;86
1/3/2009;309.3;87
1/4/2009;281.8;88
1/5/2009;296.3;89
1/6/2009;286.9;90
1/7/2009;275.4;91
1/8/2009;285.2;92
1/9/2009;269.4;93
1/10/2009;278.1;94
1/11/2009;259;95
1/12/2009;326.2;96
1/1/2010;229.6;97
1/2/2010;264.7;98
1/3/2010;338.9;99
1/4/2010;298.1;100
1/5/2010;321.3;101
1/6/2010;296.2;102
1/7/2010;289.2;103
1/8/2010;289.1;104
1/9/2010;262.8;105
1/10/2010;272.2;106
1/11/2010;265;107
1/12/2010;328.3;108
1/1/2011;248.4;109
1/2/2011;279.6;110
1/3/2011;332.1;111
1/4/2011;307.6;112
1/5/2011;337;113
1/6/2011;298.2;114
1/7/2011;299.9;115
1/8/2011;302.6;116
1/9/2011;286.7;117
1/10/2011;299.9;118
1/11/2011;281.3;119
1/12/2011;354.4;120
1/1/2012;268.4;121
1/2/2012;316.7;122
1/3/2012;362.6;123
1/4/2012;333.2;124
1/5/2012;349.3;125
1/6/2012;319.2;126
1/7/2012;331.1;127
1/8/2012;313.5;128
1/9/2012;304.9;129
1/10/2012;320.3;130
1/11/2012;292.5;131
1/12/2012;375.1;132
1/1/2013;279.5;133
1/2/2013;300.1;134
1/3/2013;336.8;135
1/4/2013;355.3;136
1/5/2013;358.2;137
1/6/2013;319;138
1/7/2013;331.5;139
1/8/2013;323.1;140
1/9/2013;315.5;141
1/10/2013;332.9;142
1/11/2013;307.3;143
1/12/2013;385;144
1/1/2014;282.2;145
1/2/2014;310.9;146
1/3/2014;374.8;147
1/4/2014;353.8;148
1/5/2014;384.1;149
1/6/2014;353.2;150
1/7/2014;349.8;151
1/8/2014;339.5;152
1/9/2014;331.5;153
1/10/2014;340.8;154
1/11/2014;316.3;155
1/12/2014;402.3;156
1/1/2015;293.9;157
1/2/2015;315;158
1/3/2015;371.9;159
1/4/2015;353.2;160
1/5/2015;384.8;161
1/6/2015;361.9;162
1/7/2015;354.3;163
1/8/2015;355.6;164
1/9/2015;345.9;165
1/10/2015;362.7;166
1/11/2015;336.3;167
1/12/2015;421;168
1/1/2016;303.9;169
1/2/2016;350.8;170
1/3/2016;383.8;171
1/4/2016;381.3;172
1/5/2016;409.1;173
1/6/2016;376.8;174
1/7/2016;371.2;175
1/8/2016;377.7;176
1/9/2016;360.6;177
1/10/2016;387.8;178
1/11/2016;371.9;179
1/12/2016;469.2;180
1/1/2017;340.1;181
1/2/2017;375.9;182
1/3/2017;447.6;183
1/4/2017;402.9;184
1/5/2017;455.4;185
1/6/2017;410;186
1/7/2017;415.9;187
1/8/2017;407.8;188
1/9/2017;401.8;189
1/10/2017;425.1;190
1/11/2017;403.6;191
1/12/2017;499.4;192
1/1/2018;379.8;193
1/2/2018;394.8;194
1/3/2018;450.5;195
1/4/2018;484.9;196
1/5/2018;486.6;197
1/6/2018;454.7;198
1/7/2018;457.4;199
1/8/2018;445.1;200
1/9/2018;429.3;201
1/10/2018;458;202
1/11/2018;424;203
1/12/2018;525.7;204
1/1/2019;398;205
1/2/2019;404.9;206
1/3/2019;492.1;207
1/4/2019;479;208
1/5/2019;505.6;209
1/6/2019;462.9;210
1/7/2019;484.7;211
1/8/2019;471.1;212
1/9/2019;458.6;213
1/10/2019;482.9;214
1/11/2019;457.9;215
1/12/2019;551.3;216
1/1/2020;424.4;217
1/2/2020;449.5;218
1/3/2020;439.6;219
1/4/2020;287.3;220
1/5/2020;414.3;221
1/6/2020;508.2;222
1/7/2020;553.1;223
1/8/2020;559.3;224
1/9/2020;552.6;225
1/10/2020;571.5;226
1/11/2020;514.3;227
1/12/2020;644.6;228
1/1/2021;515.9;229
1/2/2021;506.8;230
1/3/2021;683.2;231
1/4/2021;644.5;232
1/5/2021;684.9;233
1/6/2021;623.2;234
1/7/2021;626.5;235
